"user_id","video_id","date"
kyjun92,ewyRaxdFZcQ,"2020-11-06 17:20:04.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:07.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:16.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:39.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:40.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:40.0"
kyjun92,"1DrvrxEdBLs","2020-11-06 17:20:40.0"
kyjun92,lM-LYpqD44E,"2020-11-06 17:20:43.0"
kyjun92,lM-LYpqD44E,"2020-11-06 17:21:18.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:21:24.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:21:28.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:21:28.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:21:28.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:22:27.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:23:13.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:23:15.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:23:28.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:23:48.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:23:48.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:24:58.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:25:26.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:25:54.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:26:30.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:26:50.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:26:51.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:26:51.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:26:52.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:27:38.0"
kyjun92,uttOy9Qy6jI,"2020-11-06 17:27:39.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:33:45.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:34:09.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:34:18.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:35:32.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:13.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:14.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:14.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:14.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:15.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:15.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:15.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:36:15.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:37:01.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:37:23.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:37:39.0"
kyjun92,hU-cOvkZsjk,"2020-11-06 17:37:40.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:37:44.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:37:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:38:06.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:38:27.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:38:27.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:38:28.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:25.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:25.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:26.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:26.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:26.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:26.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:26.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:30.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:30.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:30.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:31.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:51.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:52.0"
kyjun92,b_FavH1dfY4,"2020-11-06 17:39:53.0"
